Gene,Glucose
aas,0.000845199
accA,0.223593949
accB,0.071193094
accC,0.14811278
accD,0.091758058
aceA,2.22095537
aceB,0.439229376
aceE,0.961561293
aceF,0.99320614
aceK,0.000347684
ackA,0.219863838
acnA,0.096485947
acnB,1.178290633
acpH,0.000832453
acpP,0.414120844
acpS,0.001079996
acrA,0.169630225
acrB,0.053190694
acrD,0.0001696
acrR,0.000857064
acs,0.118984109
actP,0.003972191
acuI,0.063153861
add,0.015287824
addB,0.002836135
ade,0.000522204
adeP,0.00709805
adhE,0.773711989
adhP,0.001539617
adk,0.206623775
aegA,0.0006264
agaR,0.001447976
agaV,0.000508456
agp,0.03798932
ahpC,2.013351626
ahpF,0.226931057
ahr,6.19287E-05
aidB,0.000299972
alaA,0.007586517
alaC,0.007142241
alaS,0.310434315
aldA,0.303625781
aldB,0.054978212
alkB,0.000538263
allC,9.02493E-06
allR,0.00997608
alr,0.000945515
alsB,0.001031249
amiA,0.003972927
amiB,0.001218261
amiC,5.50604E-07
amiD,0.002803815
amn,0.038148686
ampC,0.001343506
ampD,0.005694346
ampE,0.000219147
ampH,0.002525072
amtB,0.003920933
amyA,0.010226282
anmK,0.003530137
ansA,0.034109537
ansB,0.000287976
apaG,0.000298712
apaH,0.002967642
aphA,0.003650752
appA,0.000709131
appC,9.65642E-05
apt,0.100798713
araF,0.002060688
arcA,0.152413541
arcB,0.00722951
argA,0.027145061
argB,0.287852198
argC,0.102430983
argD,0.28453427
argE,0.150640639
argF,0.009123997
argG,0.689103915
argH,0.240657459
argI,0.049259922
argR,0.018267218
argS,0.101002649
argT,0.286022328
arnA,0.000792716
arnB,0.001043826
aroA,0.157247757
aroB,0.019665469
aroC,0.051796332
aroD,0.040136641
aroE,0.005913986
aroF,0.13364825
aroG,0.421044294
aroH,0.019279733
aroK,0.06840313
aroL,0.021584831
aroM,0.004410953
aroP,0.016471252
arsC,5.35933E-05
artI,0.086052926
artJ,0.416434562
artP,0.026367923
ascG,0.001018717
asd,0.91400765
asmA,0.002805234
asnA,0.10735009
asnB,0.119958447
asnC,0.003194811
asnS,0.482133407
aspA,0.00956793
aspC,0.504861638
aspS,0.24842261
asr,1.45925E-06
astC,0.0032067
astD,0.000472205
atoC,0.000179096
atpA,1.333157295
atpB,0.058056378
atpC,0.25256327
atpD,2.016631926
atpE,0.003909421
atpF,0.257230139
atpG,0.120800628
atpH,0.246811922
avtA,0.042867689
azoR,0.028788163
baeR,0.012672724
baeS,0.000790806
bamA,0.304819238
bamB,0.066865585
bamC,0.107156739
bamD,0.063298718
bamE,0.055554997
barA,0.000421987
basR,0.000557442
bcp,0.222034587
bcsG,0.004358114
bdcR,0.004423376
bepA,0.015797619
betB,0.007498657
bfr,0.104651612
bglA,0.033868617
bglX,0.021768221
bhsA,0.002274748
bioA,0.010883795
bioB,0.023465681
bioC,0.000289315
bioD,0.017623657
bioD,0.000174606
bioF,0.004976177
bioH,0.003216615
birA,0.001092962
bisC,0.004389027
blc,0.001630348
bolA,0.00555119
borD,0.043691628
btuB,0.076744373
btuD,0.002822304
btuE,0.039307609
btuF,0.00103319
btuR,0.006005269
caiD,0.002775967
can,0.151571935
carA,0.63613003
carB,0.869072255
cas1,0.000947668
cbl,0.002555809
cbpA,0.007482065
cca,0.004931044
cdd,0.01342292
cdsA,0.002300889
cedA,0.00124118
cfa,0.00516633
cgtA,0.008331432
chaA,0.002774797
chaB,0.001164479
chbA,1.32049E-05
chbB,0.0095648
chbG,0.001811807
cheA,0.000111581
cheW,0.000160506
cheY,0.000650018
cheZ,6.89741E-05
chiA,0.000486476
chpB,0.001492669
chpS,0.000130756
cirA,0.070480146
clpA,0.073998009
clpB,0.01893894
clpB,3.10322E-05
clpP,0.339143393
clpX,0.249994287
clsA,0.000932628
cmk,0.038994464
cmoA,0.02562424
cmoB,0.007659165
cnu,0.000641693
coaA,0.016567899
coaB,0.018157413
coaD,0.001821683
coaE,0.002678152
cobB,0.026318216
cobT,0.005108202
cobU,0.000999267
codA,0.241999479
codB,0.015299737
cohE,0.000214977
comR,7.26333E-05
copA,0.403702051
corA,0.016767788
corC,0.011867862
cpdA,0.008727812
cpdB,0.015750113
cpxA,0.003855332
cpxP,0.010309342
cpxR,0.040731429
cra,0.009344901
creA,0.006964964
creB,0.000327349
crl,0.050853698
crp,0.080285648
crr,1.014364466
csdA,0.000876696
csdE,0.005170557
csgD,8.78479E-06
csgG,0.001372137
csiD,0.003459227
csiR,0.000233654
cspA,0.029108207
cspB,2.55951E-05
cspC,0.720594614
cspD,0.016456891
cspE,0.21212539
cspG,0.000588583
csrA,0.021638818
cstA,0.044929446
cueO,0.097002483
cueR,0.00123119
curA,0.041349615
cusA,0.06777836
cusB,0.171477825
cusC,0.122963987
cusF,0.599204933
cusR,0.039108568
cusS,0.019369715
cutA,0.000241002
cutC,0.003417893
cvpA,0.000244894
cvrA,0.000199274
cyaA,0.000516471
cyaY,0.004008145
cycA,0.015424124
cydA,0.033256772
cydB,0.003004273
cydC,0.008022583
cydD,0.006491514
cyoA,0.151456759
cyoB,0.11801621
cyoC,0.000672897
cyoD,0.002712713
cysA,0.048044169
cysB,0.031380221
cysC,0.030879079
cysD,0.075893032
cysE,0.019446729
cysG,0.00245939
cysH,0.08633536
cysI,0.319733133
cysJ,0.364709489
cysK,4.193691705
cysM,0.083053187
cysN,0.132518605
cysP,0.244193074
cysQ,0.041309518
cysS,0.047654907
cysU,0.01304181
