TF,Target,Regulation
CRP,aaeA,+
CRP,aaeB,+
CRP,aaeR,-
CRP,aaeX,+
FadR,accA,+
FadR,AccB,+
AccB,accC,-
FadR,accC,+
FadR,accD,+
ArcA,aceA,-
Cra,aceA,+
CRP,aceA,-
IclR,aceA,-
IHF,aceA,+
ArcA,aceB,-
Cra,aceB,+
CRP,aceB,-
IclR,aceB,-
IHF,aceB,+
ArcA,aceE,-
Cra,aceE,-
CRP,aceE,+
FNR,aceE,-
NsrR,aceE,-
PdhR,aceE,-
ArcA,aceF,-
Cra,aceF,-
CRP,aceF,+
FNR,aceF,-
NsrR,aceF,-
PdhR,aceF,-
ArcA,aceK,-
Cra,aceK,+
CRP,aceK,-
IclR,aceK,-
IHF,aceK,+
ArcA,ackA,+
FNR,ackA,+
ArcA,acnA,-
Cra,acnA,+
CRP,acnA,+
FNR,acnA,-
MarA,acnA,+
Rob,acnA,+
SoxS,acnA,+
ArcA,acnB,-
Cra,acnB,-
CRP,acnB,+
Fis,acnB,-
AcrR,acrA,-
EnvR,acrA,-
MarA,acrA,+
MprA,acrA,-
PhoP,acrA,-
Rob,acrA,+
SoxS,acrA,+
AcrR,acrB,-
EnvR,acrB,-
MarA,acrB,+
MprA,acrB,-
PhoP,acrB,-
Rob,acrB,+
SoxS,acrB,+
BaeR,acrD,+
CpxR,acrD,+
EvgA,acrD,+
FNR,acrE,+
H-NS,acrE,-
FNR,acrF,+
H-NS,acrF,-
MarA,acrZ,+
Rob,acrZ,+
SoxS,acrZ,+
CRP,acs,+
Fis,acs,-
IHF,acs,-
CRP,actP,+
Fis,actP,-
IHF,actP,-
RbsR,add,+
H-NS,adeD,-
Cra,adhE,-
Fis,adhE,+
FNR,adhE,+
Lrp,adhE,-
NarL,adhE,-
AdiY,adiA,+
H-NS,adiA,-
IHF,adiA,+
GadE-RcsB,adiC,+
PhoB,adiC,+
H-NS,AdiY,-
CRP,aer,+
FliA,aer,+
FNR,aer,+
AgaR,agaA,-
CRP,agaA,+
AgaR,agaB,-
AgaR,agaC,-
AgaR,agaD,-
AgaR,agaI,-
AgaR,agaS,-
AgaR,agaV,-
CRP,agaV,+
AgaR,agaW,-
CRP,agaW,+
CRP,agp,+
MetJ,ahpC,-
OxyR,ahpC,+
MetJ,ahpF,-
OxyR,ahpF,+
Ada,AidB,+
Lrp,AidB,-
Lrp,alaA,-
SgrR,alaC,+
Fis,alaT,+
Lrp,alaT,-
Fis,alaU,+
H-NS,alaU,-
Lrp,alaU,-
Fis,alaV,+
H-NS,alaV,-
Lrp,alaV,-
Fis,alaW,+
Fis,alaX,+
ArcA,aldA,-
CRP,aldA,+
DnaA,aldA,-
FNR,aldA,-
CRP,aldB,+
Fis,aldB,-
Ada,alkA,+
Ada,alkB,+
Ada,alkB,-
AllR,allA,-
AllR,allB,-
AllS,allC,+
AllS,allD,+
AllS,allE,+
AllR,AllS,-
AlsR,alsA,-
AlsR,alsB,-
AlsR,alsC,-
AlsR,alsE,-
IHF,amiA,-
PhoB,amn,+
CRP,ampD,-
CRP,ampE,-
GadX,amtB,+
NtrC,amtB,+
CRP,ansB,+
Fis,ansB,-
FNR,ansB,+
Fis,apaG,+
Fis,apaH,+
AppY,appA,+
ArcA,appA,+
YdeO,appA,+
AppY,appB,+
ArcA,appB,+
YdeO,appB,+
AppY,appC,+
ArcA,appC,+
YdeO,appC,+
AppY,appX,+
ArcA,appX,+
YdeO,appX,+
DpiA,AppY,-
H-NS,AppY,-
AraC,araA,+
AraC,araA,-
CRP,araA,+
AraC,araB,-
AraC,araB,+
CRP,araB,+
CRP,AraC,+
AraC,araD,-
AraC,araD,+
CRP,araD,+
AraC,araE,+
CRP,araE,+
AraC,araF,+
CRP,araF,+
AraC,araG,+
CRP,araG,+
AraC,araH,+
CRP,araH,+
AraC,araJ,+
CRP,araJ,+
CRP,araJ,-
FNR,ArcA,-
FNR,ArcA,+
ArcA,arcZ,-
CRP,arfB,-
ArgR,argA,-
ArgR,argB,-
ArgR,argC,-
ArgR,argD,-
PhoP,argD,-
ArgR,argE,-
ArgR,argF,-
ArgR,argG,-
CRP,argG,+
ArgR,argH,-
ArgR,argI,-
ArgP,argO,+
Lrp,argO,+
NtrC,argT,+
Fis,argU,+
Fis,argW,+
Fis,argX,+
BluR,ariR,-
CRP,aroA,-
Lrp,aroA,+
TyrR,aroF,-
CpxR,aroG,+
TyrR,aroG,-
TrpR,aroH,-
TrpR,aroL,-
TyrR,aroL,-
TrpR,aroM,-
TyrR,aroM,-
Cra,aroP,+
TyrR,aroP,-
ArsR,arsB,-
ArsR,arsC,-
ArgR,artI,-
ArgR,artJ,-
ArgR,artM,-
ArgR,artP,-
ArgR,artQ,-
AscG,ascB,-
CRP,ascB,+
AscG,ascF,-
CRP,ascF,+
GadE-RcsB,aslB,+
Rob,aslB,+
